NGVS_catalog_id,band,time,exposure,frame,image_index,zeropoint,mag,err_sys,time_mjd
819949,g,2010-04-087:49,634.172,1183255,8,33.476,19.66857679,0.002733368,55294.32569
819949,g,2010-04-116:42,634.143,1183549,9,33.47,19.57622646,0.002480754,55297.27917
819949,g,2010-04-118:03,634.159,1183556,10,33.509,19.66936516,0.002817319,55297.33542
819949,g,2010-04-119:57,634.152,1183566,11,33.507,18.79871042,0.00160715,55297.41458
819949,g,2010-04-1111:20,634.161,1183573,12,33.484,18.85567326,0.002219041,55297.47222
819949,g,2010-04-126:55,634.142,1183647,13,33.452,19.46473075,0.002248125,55298.28819
819949,i,2010-05-0910:49,411.099,1195601,14,32.349,19.05233942,0.003643395,55325.45069
819949,i,2010-05-107:47,411.119,1195702,15,32.393,19.08679548,0.003572488,55326.32431
819949,i,2010-05-109:55,411.114,1195714,16,32.357,19.14708608,0.003492736,55326.41319
819949,i,2010-05-147:02,411.107,1196331,17,32.373,18.87739582,0.002874667,55330.29306
819949,i,2010-05-147:57,411.126,1196338,18,32.373,18.88232299,0.002943555,55330.33125
819949,i,2010-05-148:58,411.114,1196345,19,32.379,18.92842566,0.003146411,55330.37361
819949,z,2011-01-2711:36,550.101,1276067,30,31.692,19.07764227,0.005917076,55588.48333
819949,z,2011-01-2712:47,550.165,1276074,31,31.697,19.12962338,0.005382363,55588.53264
819949,z,2011-01-2713:58,550.156,1276081,32,31.693,19.21604155,0.005469211,55588.58194
819949,z,2011-01-2715:09,550.16,1276088,33,31.706,19.25558012,0.006818892,55588.63125
819949,z,2011-01-2815:18,550.149,1276449,34,31.692,19.02992816,0.005292891,55589.6375
819949,z,2011-02-0213:01,550.161,1277341,35,31.705,19.16909562,0.007352095,55594.54236
819949,z,2011-02-0911:11,550.151,1278346,36,31.667,18.91645943,0.005820292,55601.46597
819949,z,2011-02-0912:23,550.156,1278353,37,31.687,18.96585382,0.006431484,55601.51597
819949,z,2011-02-0913:36,550.155,1278360,38,31.663,19.02111042,0.005806239,55601.56667
819949,u,2013-02-0613:24,120.095,1607394,42,30.407,19.93368855,0.012281451,56329.55833
819949,u,2013-04-097:19,582.11,1616673,44,32.044,20.38215851,0.0069074,56391.30486
819949,u,2013-04-098:33,582.127,1616680,45,32.107,20.39591959,0.006500638,56391.35625
819949,u,2013-04-108:13,582.144,1616886,46,32.095,20.20481384,0.005738244,56392.34236
819949,u,2013-05-026:53,582.13,1624474,47,32.103,19.6874543,0.005244532,56414.28681
819949,u,2013-05-028:24,582.104,1624489,48,32.113,19.9279055,0.005581269,56414.35
